protein	group
Q9LF98	New
Q56WH4	New
Q944G9	New
Q8L5Y9	New
Q8LE63	New
Q84R17	New
Q9M885	New
Q9C514	New
Q9FJP3	New
Q93VP3	New
P51430	New
Q93VG5	New
P42794	New
P60040	New
Q38882	New
Q8VZC0	New
Q9FMU6	New
Q9SR09	New
P31167	New
O48773	New
Q9FZ76	New
Q9LX88	New
Q95748	New
Q08733	New
O65201	New
Q9SKZ3	New
Q9FVQ1	New
Q9LJV8	New
Q9M339	New
Q9M884	New
Q43284	New
Q08112	New
Q43291	New
P92959	New
Q9SRX2	New
F4K087	New
Q9ASV6	New
Q9FWS4	New
Q8RXU5	New
P0DH99	New
O04603	New
Q9FHG2	New
Q39100	New
Q93YQ1	Published and enriched
Q9LV27	Published and enriched
Q9LJ98	Published and enriched
Q9M4B5	Published and enriched
P57742	Published and enriched
Q2HIK4	Published and enriched
Q94AF7	Published and enriched
P57741	Published and enriched
Q9FFV8	Published and enriched
Q94AW8	Published and enriched
P42825	Published and enriched
P22954	Published and enriched
Q9LNB6	Published and enriched
Q9SIZ2	Published and enriched
Q8L7N0	Published and enriched
Q9M888	Published and enriched
Q9LV21	Published and enriched
O04450	Published and enriched
Q9SF16	Published and enriched
Q94K05	Published and enriched
Q940P8	Published and enriched
P28769	Published and enriched
Q9FK59	Published and enriched
Q84WV1	Published and enriched
Q05763	Published and enriched
Q05762	Published and enriched
O64760	Published and enriched
A0A1P8AVS2	Published and enriched
Q9SSS7	Published and enriched
Q1G3F7	Published and enriched
Q9LP67	Published and enriched
Q9FR53	Published and enriched
Q9C829	Published and not enriched
Q9C5Z2	Published and not enriched
Q9FE78	Published and not enriched
O64490	Published and not enriched
Q38946	Published and not enriched
F4I048	Published and not enriched
Q9M9H6	Published and not enriched
Q8L518	Published and not enriched
Q9FJW0	Published and not enriched
Q9FMR9	Published and not enriched
Q9C9H8	Published and not enriched
Q94F20	Published and not enriched
Q9S9N1	Published and not enriched
Q9C6C2	Published and not enriched
Q9LSA3	Published and not enriched
P92958	Published and not enriched
Q9C5G5	Published and not enriched
Q9S7B5	Published and not enriched
P51427	Published and not enriched
Q42340	Published and not enriched
P21240	Published and not enriched
P21238	Published and not enriched
A0A1I9LPZ1	Published and not enriched
A0A1P8AT59	Published and not enriched
Q9LV03	Published and not enriched
Q9ZPH2	Published and not enriched
Q8VZG7	Published and not enriched
F4J9U2	Published and not enriched
Q42403	Published and not enriched
F4IIK6	Published and not detected
Q9LZW9	Published and not detected
F4HPZ9	Published and not detected
Q9FQ09	Published and not detected
Q9FQ08	Published and not detected
O81024	Published and not detected
A0A1P8AVJ4	Published and not detected
Q9XFD1	Published and not detected
P42818	Published and not detected
F4K210	Published and not detected
Q9SCK0	Published and not detected
Q9FNY0	Published and not detected
Q9LKA1	Published and not detected
F4IIZ5	Published and not detected
Q8GXH4	Published and not detected
Q9SN87	Published and not detected
P49677	Published and not detected
O24408	Published and not detected
P93024	Published and not detected
P32826	Published and not detected
Q56XV8	Published and not detected
Q94JM3	Published and not detected
Q43314	Published and not detected
P93022	Published and not detected
F4IRF5	Published and not detected
C0Z361	Published and not detected
Q9CA32	Published and not detected
Q9SZ92	Published and not detected
O64842	Published and not detected
