protein	logFC	se	df	t	pval	adjPval	group1	group2	batch
FLAG-PUP	0.30681824988792405	0.08193667589369436	7.805123545584	3.7445777063984607	0.005925636838027114	0.008896419822683181	Nb_35S_LST8	Nb_35S_GFP	R0563
GFP	-3.3613418313094305	0.04466090215444496	8.300031162475726	-75.26363483848449	4.628572772423519e-13	1.0890433548106651e-10	Nb_35S_LST8	Nb_35S_GFP	R0563
LST8	3.876456775339893	0.07926249387167583	7.418377192176873	48.90657088856916	1.3915890821829863e-10	2.558691365923285e-9	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000053.1	-0.32785981916899	0.09820890157029011	8.438185626592094	-3.3383920798089166	0.00950561832253009	0.01378484344857658	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000081.1	0.42409486953223097	0.06592623800318374	8.366957559675292	6.432869254753325	1.661988160564055e-4	3.224386930699174e-4	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000089.1	0.09243872179300551	0.11588885635947924	8.535572906018508	0.7976497887447174	0.44669489244194616	0.5036166488596052	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000166.1	0.06392556665853852	0.07742067438385303	9.118877439855702	0.8256911628229233	0.43005101147097347	0.48681730915943994	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000167.1	-1.3795996717779024	0.08097288720767779	8.2869229590905	-17.03779770430478	9.652378634165381e-8	4.373917620431128e-7	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000181.1	-0.17087552778503187	0.059041853707117294	7.8099297973995645	-2.8941423254201353	0.020589750502572342	0.028411057827514893	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000217.1	0.2111204599687788	0.13468142405757377	7.232258468399375	1.5675544080862167	0.15960072331465502	0.1947817622971534	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000226.1	-0.9715074009855116	0.07244759544486797	8.962755334686491	-13.409794970004503	3.097507840443269e-7	1.1659363968913669e-6	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000253.1	-0.039644528304001156	0.09522229837829603	8.460891665729335	-0.41633660370707154	0.6875253944483728	0.7327918564874355	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000267.1	0.42614312087731665	0.08829019123636478	7.652022369160738	4.826619071834083	0.0014854004787612641	0.0024319418611598856	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000296.1	1.0608481137222314	0.0773170662330907	8.306834236235378	13.72074970516926	5.36561696039485e-7	1.8919710268574036e-6	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000310.1	2.3741502172927067	0.0785851829159447	8.312548500261396	30.21116868598646	8.569717838080252e-10	9.742875140087166e-9	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000317.1	1.5256034891173564	0.05248812325519387	7.287013169781499	29.06568942653885	8.36979210519851e-9	5.898459168143051e-8	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000350.1	1.1048129417885733	0.045831424614561064	8.361979096925246	24.106013528489882	5.049530615677996e-9	3.951191381935076e-8	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000370.1	2.5102118885359026	0.06657153204039482	7.686458861503187	37.70698692967943	5.295027530030876e-10	6.87737878028429e-9	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000403.1	0.4735941739260596	0.09626633738070778	8.69476696896908	4.919623897740292	9.129191461257185e-4	0.001548565962372707	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000409.1	2.274932385227478	0.08548091062176452	8.294387181437884	26.613338214114105	2.515388957243905e-9	2.2299122740011445e-8	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000417.1	1.2284475610167949	0.10867924168935342	7.667436057006799	11.303424112289676	4.726415756516847e-6	1.2759894622427353e-5	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000443.1	-0.4752618901254386	0.08680704504551631	8.74539048465655	-5.4749230304549625	4.341138456829664e-4	7.811601540521521e-4	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000462.1	2.476881475345356	0.08825917372937245	7.623412584212207	28.06372834330145	5.6892806376242405e-9	4.348284729236183e-8	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD000463.1	0.25089773796824094	0.07929639977759645	7.7355710835938645	3.164049549184286	0.013901600158401787	0.01971194843152624	Nb_35S_LST8	Nb_35S_GFP	R0563
