protein	species	construct	bait	replicate	intensity	batch
FLAG-PUP	Nb	35S	GFP	1 MaxLFQ Intensity	-0.5410112949829075	R0563
FLAG-PUP	Nb	35S	GFP	2 MaxLFQ Intensity	-0.509744569669293	R0563
FLAG-PUP	Nb	35S	GFP	3 MaxLFQ Intensity	-0.5899387653538822	R0563
FLAG-PUP	Nb	35S	LST8	1 MaxLFQ Intensity	-0.2479050640991354	R0563
FLAG-PUP	Nb	35S	LST8	2 MaxLFQ Intensity	-0.17943734556554142	R0563
FLAG-PUP	Nb	35S	LST8	3 MaxLFQ Intensity	-0.2928974706776338	R0563
FLAG-PUP	Nb	35S	RAPTOR	1 MaxLFQ Intensity	0.6049736533860214	R0563
FLAG-PUP	Nb	35S	RAPTOR	2 MaxLFQ Intensity	0.41734626527887403	R0563
FLAG-PUP	Nb	35S	RAPTOR	3 MaxLFQ Intensity	0.9799986320240994	R0563
GFP	Nb	35S	GFP	1 MaxLFQ Intensity	0.14537189067510342	R0563
GFP	Nb	35S	GFP	2 MaxLFQ Intensity	0.11277109599770825	R0563
GFP	Nb	35S	GFP	3 MaxLFQ Intensity	0.10460398510299856	R0563
GFP	Nb	35S	LST8	1 MaxLFQ Intensity	-3.2513099703491917	R0563
GFP	Nb	35S	LST8	2 MaxLFQ Intensity	-3.2446990715243316	R0563
GFP	Nb	35S	LST8	3 MaxLFQ Intensity	-3.249697458664348	R0563
GFP	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.2549784825417327	R0563
GFP	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.2446853155412834	R0563
GFP	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-3.2515674057269006	R0563
LST8	Nb	35S	GFP	1 MaxLFQ Intensity	-3.295106375292632	R0563
LST8	Nb	35S	GFP	2 MaxLFQ Intensity	-3.2794917418146485	R0563
LST8	Nb	35S	GFP	3 MaxLFQ Intensity	-3.261130515315245	R0563
LST8	Nb	35S	LST8	1 MaxLFQ Intensity	0.597885514332146	R0563
LST8	Nb	35S	LST8	2 MaxLFQ Intensity	0.19620491367075735	R0563
LST8	Nb	35S	LST8	3 MaxLFQ Intensity	0.76127269385867	R0563
LST8	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-3.246063593196118	R0563
LST8	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-3.2997785128331554	R0563
