protein	n
A0A178US29	2
A0A178VQ59	2
A0A178W0K0	3
A0A178W3G2	2
A0A1I9LM38	2
A0A1I9LMD5	3
A0A1I9LMV6	3
A0A1I9LPW2	2
A0A1I9LQ26	1
A0A1I9LRM4	4
A0A1I9LSA3	3
A0A1I9LTS6	1
A0A1P8APQ0	1
A0A1P8ARL5	2
A0A1P8ATN7	2
A0A1P8AUY4	1
A0A1P8AV88	1
A0A1P8AVQ6	4
A0A1P8AVS2	4
A0A1P8AVY3	3
A0A1P8AW47	4
A0A1P8AWS5	3
A0A1P8AWX3	1
A0A1P8AZ49	3
A0A1P8AZN3	5
A0A1P8B0B7	1
A0A1P8B2U5	2
A0A1P8B3W0	2
A0A1P8B4A5	2
A0A1P8B4Y6	1
A0A1P8B5D8	1
A0A1P8B6L8	1
A0A1P8B8B4	2
A0A1P8B9B2	1
A0A1P8BA53	3
A0A1P8BAT6	1
A0A1P8BB34	5
A0A1P8BB42	3
A0A1P8BC04	3
A0A1P8BGF0	2
A0A1P8BGI7	2
A0A219HZL6	4
A0MFS5	5
A1A6M1	7
A1L4Y4	2
A2RVJ8	1
A2RVK7	4
A2RVS6	2
A2RVT9	5
A3KPE8	1
A3KPF2	4
A3KPF3	1
A4FVN8	7
A4GNA8	2
A4GSN8	4
A8MPR5	2
A8MQR0	2
A8MRD9	1
A8MRQ5	1
A8MRX0	3
A8MS32	1
A8MS68	1
A8MS85	4
A8R7E6	2
A8R7K9	1
B3DNP3	3
B3H5K9	1
B3H6J5	3
B3H797	1
B3H7H1	4
B3LF48	1
B3LFA4	3
B4F7N8	2
B5BT18	1
B5X0I6	3
B5X503	6
B5X565	3
B5X582	3
B6EUA9	4
B6EUB3	1
B9DFG3	4
B9DFI7	3
B9DFX7	1
B9DG73	2
B9DGC0	1
B9DGD6	6
B9DGK6	1
B9DGU7	3
B9DHA6	1
B9DHD3	3
B9DHG0	1
C0LGD7	5
C0LGG4	2
C0LGG8	4
C0LGG9	2
C0LGH3	3
C0LGK4	1
C0LGN2	5
C0LGP4	2
C0LGQ9	4
C0LGS2	2
C0LGT1	4
C0LGX1	1
C0Z2A9	2
D2WL32	5
D7SFH9	1
E0X9N4	1
F4HNU6	2
F4HPK3	2
F4HPR9	1
F4HQ17	2
F4HQ84	2
F4HQ87	1
F4HQ88	1
F4HQD4	5
F4HQH8	1
F4HQZ1	6
F4HRC1	2
F4HRR0	3
F4HRT5	2
F4HS99	2
F4HSW8	2
F4HSX9	2
F4HTY0	3
F4HUK6	2
F4HUX0	4
F4HVV6	2
F4HVW5	3
F4HWC3	2
F4HWE6	5
F4HWL4	2
F4HX15	1
F4HXZ1	6
F4HY32	2
F4HY56	1
F4HYF3	4
F4HZB2	1
