bait	method	gene	culture	seedling
LST8/RAPTOR1/TOR	TAP-MS	AT1G50030	1	1
LST8/RAPTOR1/TOR	TAP-MS	AT3G18140	1	1
LST8/RAPTOR1/TOR	TAP-MS	AT3G08850	1	1
LST8	TAP-MS	AT2G16370	1	0
LST8	TAP-MS	AT4G34570	1	0
LST8	TAP-MS	AT5G62000	1	0
LST8	TAP-MS	AT1G19850	1	0
LST8	TAP-MS	AT5G20730	1	0
LST8	TAP-MS	AT5G38640	1	0
LST8	TAP-MS	AT5G19485	1	0
LST8	TAP-MS	AT3G07300	1	0
LST8	TAP-MS	AT2G34970	1	0
LST8	TAP-MS	AT1G72340	1	0
LST8	TAP-MS	AT1G53880	1	0
LST8	TAP-MS	AT1G48970	1	0
LST8	TAP-MS	AT4G18300	1	0
LST8	TAP-MS	AT2G40290	1	0
LST8	TAP-MS	AT5G05470	1	0
LST8	TAP-MS	AT1G04170	1	0
LST8	TAP-MS	AT2G18720	1	0
RAPTOR1	TAP-MS	AT5G42390	1	0
RAPTOR1	TAP-MS	AT2G17700	0	1
RAPTOR1	TAP-MS	AT1G09020	1	1
LST8	TAP-MS	AT2G39910	0	1
LST8/TOR	TAP-MS	AT1G79190	0	1
LST8	TAP-MS	AT3G48470	0	1
LST8	TAP-MS	AT5G67630	0	1
LST8	TAP-MS	AT5G22330	0	1
LST8	TAP-MS	AT5G23290	1	1
LST8	TAP-MS	AT5G49510	1	0
LST8	TAP-MS	AT2G07340	0	1
LST8	TAP-MS	AT3G22480	1	1
LST8	TAP-MS	AT1G12270	1	0
LST8	TAP-MS	AT1G62740	1	0
LST8/RAPTOR1	TAP-MS	AT5G20890	1	1
LST8/RAPTOR1	TAP-MS	AT1G24510	1	1
LST8/RAPTOR1	TAP-MS	AT3G03960	1	1
LST8/RAPTOR1	TAP-MS	AT3G20050	1	1
LST8/RAPTOR1	TAP-MS	AT3G02530	1	1
LST8/RAPTOR1	TAP-MS	AT3G11830	1	1
LST8/RAPTOR1	TAP-MS	AT3G18190	1	1
