protein	logFC	se	df	t	pval	adjPval	group1	group2	batch	gene	Synonyms	GO cellular component	GO biological process	GO molecular function	Description	Interpro terms	bait	control	sphere	Description.x	Cluster order	Unique identifier	Protein	Description.y	Symbol	Residue	Localization probability	Sequence window (-15, +15)	Tryptic phosphopeptides with phosphorylation localization probability
A1A6M1	1.1504314179076618	0.15337919129179112	9.915373699450328	7.500570372150822	2.1620156028920205e-5	9.77845635622736e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G13670	F18A5.60;<br>F18A5_60;<br>plastid transcriptionally active 5	chloroplast; chloroplast envelope; chloroplast nucleoid; chloroplast thylakoid; chloroplast thylakoid membrane; cytosol; plastid; plastid-encoded plastid RNA polymerase complex	chloroplast organization; plastid transcription; regulation of DNA-templated transcription; response to heat; response to light stimulus	isomerase activity; metal ion binding; protein binding; protein disulfide isomerase activity	plastid transcriptionally active 5 [Source:NCBI gene (formerly Entrezgene);Acc:827001]	Peptidoglycan binding-like; PGBD-like superfamily; PGBD superfamily; Heat shock protein DnaJ, cysteine-rich domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O65639	1.0437001531723036	0.12606723650167403	13.718782160732998	8.278916728363791	1.056574728327516e-6	7.025433454774751e-6	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G36020	AtCSP1;<br>cold shock domain protein 1;<br>cold shock protein 1;<br>CSP1;<br>T19K4.150;<br>T19K4_150	cytoplasm; nucleus; plasma membrane	cold acclimation; DNA duplex unwinding; response to cold; response to salt stress; response to water deprivation; RNA secondary structure unwinding	DNA binding; double-stranded DNA binding; metal ion binding; mRNA binding; nucleic acid binding; RNA binding; single-stranded DNA binding; zinc ion binding	cold shock domain protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:829758]	Zinc finger, CCHC-type; Cold-shock protein, DNA-binding; Cold shock domain; Nucleic acid-binding, OB-fold; Cold-shock (CSD) domain; Zinc finger, CCHC-type superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P28297	1.6496558768983334	0.20638446917740455	13.841660259998234	7.993120235613841	1.4920472233621798e-6	9.403729488059792e-6	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G21720	isocitrate lyase	cytoplasm; glyoxysome; peroxisome	carboxylic acid metabolic process; glyoxylate cycle; tricarboxylic acid cycle	catalytic activity; isocitrate lyase activity; lyase activity; metal ion binding	isocitrate lyase [Source:NCBI gene (formerly Entrezgene);Acc:821726]	Isocitrate lyase; Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily; Isocitrate lyase/phosphorylmutase, conserved site; ICL/PEPM domain; Pyruvate kinase-like domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q05763	1.0188822422867203	0.06588044134833677	11.933600221374371	15.465625630822268	2.942879256982748e-9	4.8112026017828054e-8	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT4G34570	DIHYDROFOLATE REDUCTASE-THYMIDYLATE SYNTHASE;<br>T4L20.150;<br>T4L20_150;<br>thymidylate synthase 2	mitochondrion	10-formyltetrahydrofolate biosynthetic process; dTMP biosynthetic process; metabolic process; methylation; nucleotide biosynthetic process; one-carbon metabolic process; tetrahydrofolate biosynthetic process	catalytic activity; dihydrofolate reductase activity; methyltransferase activity; oxidoreductase activity; thymidylate synthase activity; transferase activity; transferase activity, transferring one-carbon groups	thymidylate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:829609]	Thymidylate synthase; Dihydrofolate reductase domain; Bifunctional dihydrofolate reductase/thymidylate synthase; Dihydrofolate reductase conserved site; Thymidylate synthase, active site; Thymidylate synthase/dCMP hydroxymethylase domain; Dihydrofolate reductase-like domain superfamily; Thymidylate synthase/dCMP hydroxymethylase superfamily; Thymidylate synthase/dCMP hydroxymethylase	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q84WV1	1.3762238326833531	0.07967262253653676	12.601436369250406	17.273484778943182	3.78735090450528e-10	8.43632413978551e-9	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G26360	F9D12.18;<br>F9D12_18	chaperonin-containing T-complex; cytoplasm; plastid	protein folding	ATP binding; ATP hydrolysis activity; ATP-dependent protein folding chaperone; nucleotide binding; protein binding; unfolded protein binding	TCP-1/cpn60 chaperonin family protein [Source:NCBI gene (formerly Entrezgene);Acc:832705]	Chaperonin TCP-1, conserved site; Chaperonin Cpn60/GroEL/TCP-1 family; T-complex protein 1, gamma subunit; Chaperone tailless complex polypeptide 1 (TCP-1); GroEL-like apical domain superfamily; TCP-1-like chaperonin intermediate domain superfamily; GroEL-like equatorial domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8VZM1	1.5835484499340844	0.20713510199129295	13.049495924368143	7.645002873538304	3.5777384804893287e-6	2.0175727760227796e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G80410	EMBRYO DEFECTIVE 2753;<br>OMA;<br>OMISHA;<br>T21F11.26;<br>T21F11_26	cytoplasm	NA	protein binding	tetratricopeptide repeat (TPR)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844381]	Tetratricopeptide repeat 1; Tetratricopeptide-like helical domain superfamily; Tetratricopeptide repeat; N-terminal acetyltransferase A, auxiliary subunit	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9C587	1.083207165658955	0.30062965577385037	12.916632891181411	3.6031281174529273	0.00324356367374881	0.00956958686526554	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G22010	AtRFC1;<br>replication factor C 1;<br>replication factor C1	DNA replication factor C complex; nucleus	cellular response to DNA damage stimulus; DNA recombination; DNA repair; DNA replication; meiotic cell cycle; regulation of histone H3-K9 methylation; reproduction; resolution of meiotic recombination intermediates	ATP binding; ATP hydrolysis activity; DNA binding; DNA clamp loader activity; nucleotide binding	replication factor C1 [Source:NCBI gene (formerly Entrezgene);Acc:832261]	BRCT domain; AAA+ ATPase domain; ATPase, AAA-type, core; DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal; Replication factor C subunit 1; DNA replication factor RFC1, C-terminal; P-loop containing nucleoside triphosphate hydrolase; BRCT domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9CAT7	1.568444604990146	0.174449400979907	13.326507958865507	8.990828264126849	5.03341737305077e-7	3.6461584385270215e-6	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G73230	T18K17.10;<br>T18K17_10	mitochondrion	NA	mRNA binding	Nascent polypeptide-associated complex NAC [Source:NCBI gene (formerly Entrezgene);Acc:843657]	Nascent polypeptide-associated complex NAC domain; NAC A/B domain superfamily; Transcription factor BTF3	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FFD8	1.0722851442309107	0.18231875034618808	13.812865610275027	5.881376118445571	4.219804805265194e-5	1.7777050030691666e-4	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G16470	MBS2;<br>METHYLENE BLUE SENSITIVITY 2;<br>MQK4.20;<br>MQK4_20	cytoplasm; cytoplasmic stress granule; nucleus; plastid	cellular response to singlet oxygen; leaf senescence; regulation of DNA-templated transcription; regulation of leaf senescence; response to photooxidative stress	DNA-binding transcription factor activity	zinc finger (C2H2 type) family protein [Source:NCBI gene (formerly Entrezgene);Acc:831508]	Zinc finger protein MBS1/2-like	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FLQ4	1.6756520788760454	0.1878720363263497	10.262704150191135	8.91911383749147	3.745278761426237e-6	2.0987694191388537e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G55070	MCO15.2;<br>MCO15_2	cytosolic ribosome; mitochondrion; oxoglutarate dehydrogenase complex; plastid	L-lysine catabolic process to acetyl-CoA via saccharopine; tricarboxylic acid cycle	acyltransferase activity; dihydrolipoyllysine-residue succinyltransferase activity; salicylic acid binding; transferase activity; zinc ion binding	Dihydrolipoamide succinyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:835598]	Biotin/lipoyl attachment; 2-oxoacid dehydrogenase acyltransferase, catalytic domain; 2-oxo acid dehydrogenase, lipoyl-binding site; Dihydrolipoamide succinyltransferase; Single hybrid motif; Chloramphenicol acetyltransferase-like domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
