protein	logFC	se	df	t	pval	adjPval	group1	group2	batch	gene	Synonyms	GO cellular component	GO biological process	GO molecular function	Description	Interpro terms	bait	control	sphere	Description.x	Cluster order	Unique identifier	Protein	Description.y	Symbol	Residue	Localization probability	Sequence window (-15, +15)	Tryptic phosphopeptides with phosphorylation localization probability
Q9FMU6	1.1984105622083676	0.22379995031152808	10.956065195228144	5.354829438255853	2.3529477586360217e-4	8.078907333120214e-4	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G14040	mitochondrial phosphate transporter 3;<br>MPT3;<br>MUA22.4;<br>MUA22_4;<br>phosphate transporter 3;1	membrane; mitochondrial inner membrane; mitochondrion; plant-type cell wall; plant-type vacuole	mitochondrial phosphate ion transmembrane transport; response to salt stress	inorganic phosphate transmembrane transporter activity; mRNA binding	phosphate transporter 3;1 [Source:NCBI gene (formerly Entrezgene);Acc:831252]	Mitochondrial substrate/solute carrier; Mitochondrial carrier domain superfamily; Mitochondrial phosphate carrier protein Pic2/Mir1-like	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FR53	1.184174944067509	0.08108984541794155	9.597164827984251	14.603245794392697	7.131912513048734e-8	5.648474710334597e-7	At_35S_RAPTOR_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O65201	1.7872083795074545	0.17743632132392245	11.808287269479228	10.07239310515675	3.799485995746907e-7	2.1911598849258863e-6	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT5G65110	ACYL-COA OXIDASE 2;<br>ATACX2;<br>MQN23.4;<br>MQN23_4	peroxisome	fatty acid beta-oxidation; fatty acid beta-oxidation using acyl-CoA oxidase; fatty acid metabolic process; lipid metabolic process; long-chain fatty acid metabolic process	acyl-CoA oxidase activity; FAD binding; fatty acid binding; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors	acyl-CoA oxidase 2 [Source:NCBI gene (formerly Entrezgene);Acc:836635]	Acyl-CoA oxidase, C-terminal; Acyl-CoA oxidase/dehydrogenase, middle domain; Acyl-CoA dehydrogenase/oxidase C-terminal; Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily; Acyl-CoA oxidase; Peroxisomal acyl-coenzyme A oxidase; Acyl-CoA dehydrogenase-like, C-terminal	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P93014	1.3937752391116771	0.30430770692703485	12.936989033260714	4.58015097016872	5.22371759972451e-4	0.00145220979137427	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT2G33800	EMBRYO DEFECTIVE 3113;<br>T1B8.10;<br>T1B8_10	chloroplast; chloroplast stroma; chloroplast thylakoid; chloroplast thylakoid membrane; endoplasmic reticulum; nucleus; plastid; ribonucleoprotein complex; ribosome; small ribosomal subunit; thylakoid	adaxial/abaxial pattern specification; chloroplast rRNA processing; plastid translation; response to cold; translation	mRNA binding; RNA binding; rRNA binding; structural constituent of ribosome	Ribosomal protein S5 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817947]	Ribosomal protein S5; Ribosomal protein S5, C-terminal; Ribosomal protein S5, bacterial-type; Ribosomal protein S5, N-terminal; Ribosomal protein S5 domain 2-type fold, subgroup; Ribosomal protein S5, N-terminal, conserved site; Ribosomal protein S5 domain 2-type fold	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q08112	2.8069564883102234	0.17829987262286423	10.229580256704809	15.74289676721998	1.6727644647191268e-8	1.4612089588870017e-7	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT1G04270	cytosolic ribosomal protein S15;<br>F19P19.29;<br>F19P19_29;<br>RIBOSOMAL PROTEIN S15	cytoplasm; cytosolic ribosome; cytosolic small ribosomal subunit; extracellular region; plant-type vacuole; plasmodesma; polysomal ribosome; ribonucleoprotein complex; ribosome; small ribosomal subunit	translation	mRNA binding; RNA binding; structural constituent of ribosome	cytosolic ribosomal protein S15 [Source:NCBI gene (formerly Entrezgene);Acc:839564]	Ribosomal protein S19/S15; Ribosomal protein S19A/S15e; Ribosomal protein S15/S19, conserved site; Ribosomal protein S19/S15, superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9FR53	1.3899722387606244	0.06893800772363612	9.597164827984251	20.162640097358917	3.532429461297748e-9	3.838286158556456e-8	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT1G50030	F2J10.19;<br>F2J10_19;<br>target of rapamycin	cytoplasm; nucleus; polysome; protein-containing complex	abscisic acid biosynthetic process; auxin-activated signaling pathway; brassinosteroid mediated signaling pathway; defense response; dephosphorylation; embryo development ending in seed dormancy; gravitropism; negative regulation of autophagy; negative regulation of defense response to virus; phosphatidylinositol-3-phosphate biosynthetic process; phosphorylation; positive regulation of abscisic acid biosynthetic process; positive regulation of auxin mediated signaling pathway; positive regulation of brassinosteroid mediated signaling pathway; positive regulation of cell growth; positive regulation of DNA-templated transcription; positive regulation of embryonic development; positive regulation of glucose mediated signaling pathway; positive regulation of rRNA processing; post-embryonic development; response to auxin; response to rapamycin; response to stimulus; response to virus; rRNA transcription; sucrose mediated signaling	1-phosphatidylinositol-3-kinase activity; ATP binding; identical protein binding; kinase activity; nucleotide binding; protein binding; protein kinase activity; protein self-association; protein serine kinase activity; protein serine/threonine kinase activity; protein-containing complex binding; transcription cis-regulatory region binding; transferase activity	target of rapamycin [Source:NCBI gene (formerly Entrezgene);Acc:841427]	Phosphatidylinositol 3-/4-kinase, catalytic domain; PIK-related kinase, FAT; FATC domain; FKBP12-rapamycin binding domain; Protein kinase-like domain superfamily; Armadillo-like helical; Tetratricopeptide-like helical domain superfamily; PIK-related kinase; Armadillo-type fold; Phosphatidylinositol 3/4-kinase, conserved site; Domain of unknown function DUF3385,  target of rapamycin protein; Serine/threonine-protein kinase TOR, catalytic domain; FKBP12-rapamycin binding domain superfamily; Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LV27	4.531240697319314	0.08389950118013637	11.456419653167195	54.00795753946757	3.7377864724688705e-15	3.5885006571020053e-13	At_35S_LST8_suc_24h	At_35S_GFP_suc_24h	R0722	AT3G18140	Lethal with Sec Thirteen 8-1	endosome; membrane; TORC1 complex; TORC2 complex	long-day photoperiodism; regulation of inositol biosynthetic process; regulation of raffinose biosynthetic process; response to stimulus; TOR signaling	protein binding	Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821339]	WD40 repeat; WD40/YVTN repeat-like-containing domain superfamily; WD40 repeat, conserved site; G-protein beta WD-40 repeat; WD40-repeat-containing domain superfamily; Target of rapamycin complex subunit LST8	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P93014	1.57025995284687	0.30430770692703485	12.936989033260714	5.160105764995883	1.8627979426570217e-4	4.3792954271963224e-4	At_35S_RAPTOR_suc_24h	At_35S_GFP_suc_24h	R0722	AT2G33800	EMBRYO DEFECTIVE 3113;<br>T1B8.10;<br>T1B8_10	chloroplast; chloroplast stroma; chloroplast thylakoid; chloroplast thylakoid membrane; endoplasmic reticulum; nucleus; plastid; ribonucleoprotein complex; ribosome; small ribosomal subunit; thylakoid	adaxial/abaxial pattern specification; chloroplast rRNA processing; plastid translation; response to cold; translation	mRNA binding; RNA binding; rRNA binding; structural constituent of ribosome	Ribosomal protein S5 family protein [Source:NCBI gene (formerly Entrezgene);Acc:817947]	Ribosomal protein S5; Ribosomal protein S5, C-terminal; Ribosomal protein S5, bacterial-type; Ribosomal protein S5, N-terminal; Ribosomal protein S5 domain 2-type fold, subgroup; Ribosomal protein S5, N-terminal, conserved site; Ribosomal protein S5 domain 2-type fold	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q08112	2.846633097549221	0.17770110669486722	10.229580256704809	16.019219860218485	1.4089680897651298e-8	5.99231774692473e-8	At_35S_RAPTOR_suc_24h	At_35S_GFP_suc_24h	R0722	AT1G04270	cytosolic ribosomal protein S15;<br>F19P19.29;<br>F19P19_29;<br>RIBOSOMAL PROTEIN S15	cytoplasm; cytosolic ribosome; cytosolic small ribosomal subunit; extracellular region; plant-type vacuole; plasmodesma; polysomal ribosome; ribonucleoprotein complex; ribosome; small ribosomal subunit	translation	mRNA binding; RNA binding; structural constituent of ribosome	cytosolic ribosomal protein S15 [Source:NCBI gene (formerly Entrezgene);Acc:839564]	Ribosomal protein S19/S15; Ribosomal protein S19A/S15e; Ribosomal protein S15/S19, conserved site; Ribosomal protein S19/S15, superfamily	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8RXU5	3.6287871209120866	0.1999291680990745	11.545146859328144	18.150363728387287	7.587852641143206e-10	4.533591475398228e-9	At_35S_RAPTOR_suc_24h	At_35S_GFP_suc_24h	R0722	AT3G60245	NA	cytosol; cytosolic large ribosomal subunit; ribonucleoprotein complex; ribosome	translation	metal ion binding; molecular_function; structural constituent of ribosome	Zinc-binding ribosomal protein family protein [Source:NCBI gene (formerly Entrezgene);Acc:825195]	Ribosomal protein L37ae; Ribosomal protein L37ae/L37e; Zinc-binding ribosomal protein	Q93YQ1	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
