protein	logFC	se	df	t	pval	adjPval	group1	group2	batch	gene	Synonyms	GO cellular component	GO biological process	GO molecular function	Description	Interpro terms	bait	control	sphere	Description.x	Cluster order	Unique identifier	Protein	Description.y	Symbol	Residue	Localization probability	Sequence window (-15, +15)	Tryptic phosphopeptides with phosphorylation localization probability
P23321	2.4997740063616973	0.0918503107073017	9.953294876566336	27.2157381625817	1.1245257887076272e-10	3.2874416748850112e-9	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G66570	33 KDA OXYGEN EVOLVING POLYPEPTIDE 1;<br>K1F13.25;<br>K1F13_25;<br>MANGANESE-STABILIZING PROTEIN 1;<br>MSP-1;<br>OE33;<br>OEC33;<br>OEE1;<br>OEE33;<br>OXYGEN EVOLVING COMPLEX 33 KILODALTON PROTEIN;<br>OXYGEN EVOLVING COMPLEX SUBUNIT 33 KDA;<br>OXYGEN EVOLVING ENHANCER PROTEIN 33;<br>PS II OXYGEN-EVOLVING COMPLEX 1;<br>PSBO;<br>PSBO-1	apoplast; chloroplast; chloroplast stroma; chloroplast thylakoid; chloroplast thylakoid lumen; chloroplast thylakoid membrane; membrane; photosystem II; photosystem II oxygen evolving complex; plastid; plastid thylakoid membrane; plastoglobule; thylakoid; thylakoid lumen	photoinhibition; photosynthesis; photosynthesis, light reaction; photosystem II assembly; photosystem II stabilization; regulation of protein dephosphorylation	mRNA binding; oxygen evolving activity; poly(U) RNA binding; protein binding	PS II oxygen-evolving complex 1 [Source:NCBI gene (formerly Entrezgene);Acc:836789]	Photosystem II PsbO, manganese-stabilising; Outer membrane protein/outer membrane enzyme PagP,  beta-barrel	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P28297	1.6496558768983334	0.20638446917740455	13.841660259998234	7.993120235613841	1.4920472233621798e-6	9.403729488059792e-6	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G21720	isocitrate lyase	cytoplasm; glyoxysome; peroxisome	carboxylic acid metabolic process; glyoxylate cycle; tricarboxylic acid cycle	catalytic activity; isocitrate lyase activity; lyase activity; metal ion binding	isocitrate lyase [Source:NCBI gene (formerly Entrezgene);Acc:821726]	Isocitrate lyase; Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily; Isocitrate lyase/phosphorylmutase, conserved site; ICL/PEPM domain; Pyruvate kinase-like domain superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P30302	2.6106348871786715	0.225970977403614	12.54221108437101	11.552965416951457	4.7394474144209225e-8	4.798690507101185e-7	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT2G37180	PIP2;3;<br>PIP2C;<br>PLASMA MEMBRANE INTRINSIC PROTEIN 2;3;<br>PLASMA MEMBRANE INTRINSIC PROTEIN 2C;<br>RESPONSIVE TO DESICCATION 28;<br>T2N18.6;<br>T2N18_6	endoplasmic reticulum; membrane; plasma membrane	response to water deprivation; transmembrane transport; water transport	channel activity; protein binding; water channel activity	Aquaporin-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818294]	Major intrinsic protein; Major intrinsic protein, conserved site; Aquaporin-like; Aquaporin transporter	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q39165	1.5561235850334498	0.2344309999062894	13.12314558348558	6.637874622620255	1.543926456648026e-5	7.146173885056578e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G40420	OLE2;<br>OLEOSIN 2	lipid droplet; membrane; monolayer-surrounded lipid storage body	lipid storage; post-embryonic development; reproductive structure development; response to freezing; seed germination; seed oilbody biogenesis	mRNA binding	oleosin 2 [Source:NCBI gene (formerly Entrezgene);Acc:834040]	Oleosin	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q42431	1.298072150493948	0.2238218036705812	10.320529949806248	5.799578634458858	1.5310015860186144e-4	5.854602631513243e-4	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G27660	OLE3;<br>OLEOSIN 3;<br>oleosin 4	lipid droplet; membrane; monolayer-surrounded lipid storage body	post-embryonic development; reproductive structure development; response to freezing; seed germination; seed oilbody biogenesis	molecular_function	oleosin 4 [Source:NCBI gene (formerly Entrezgene);Acc:822388]	Oleosin	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q43284	1.3857198427986197	0.20292065076708243	10.089787877048678	6.828875412927709	4.3774695528788465e-5	1.831138672119743e-4	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G51210	MWD22.16;<br>MWD22_16;<br>oleosin3	lipid droplet; membrane; monolayer-surrounded lipid storage body	post-embryonic development; reproductive structure development	molecular_function	oleosin3 [Source:NCBI gene (formerly Entrezgene);Acc:835196]	Oleosin	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8VZM1	1.5835484499340844	0.20713510199129295	13.049495924368143	7.645002873538304	3.5777384804893287e-6	2.0175727760227796e-5	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT1G80410	EMBRYO DEFECTIVE 2753;<br>OMA;<br>OMISHA;<br>T21F11.26;<br>T21F11_26	cytoplasm	NA	protein binding	tetratricopeptide repeat (TPR)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844381]	Tetratricopeptide repeat 1; Tetratricopeptide-like helical domain superfamily; Tetratricopeptide repeat; N-terminal acetyltransferase A, auxiliary subunit	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9LZC3	1.0745720906708034	0.10002714809856617	12.669504713145605	10.74280443957001	9.926869139535541e-8	9.080101504096055e-7	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT5G03860	malate synthase;<br>MED24.5	glyoxysome; peroxisome	glyoxylate cycle; tricarboxylic acid cycle	catalytic activity; malate synthase activity; transferase activity	malate synthase [Source:NCBI gene (formerly Entrezgene);Acc:831690]	Malate synthase; Malate synthase A; Malate synthase superfamily; Malate synthase, conserved site; Malate synthase, C-terminal superfamily	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9S841	1.5271669446755247	0.11698526089467298	10.039013419019591	13.054353454410816	1.266941264064442e-7	1.1013118695428468e-6	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G50820	MSP-2;<br>OEC33;<br>OXYGEN EVOLVING COMPLEX SUBUNIT 33 KDA;<br>PHOTOSYSTEM II SUBUNIT O-2;<br>PSBO;<br>PSBO-2	chloroplast; chloroplast stroma; chloroplast thylakoid; chloroplast thylakoid membrane; cytosol; membrane; photosystem II; photosystem II oxygen evolving complex; plastid; plastoglobule; thylakoid; thylakoid lumen	photoinhibition; photosynthesis; photosynthesis, light reaction; photosystem II assembly; photosystem II stabilization; regulation of protein dephosphorylation	mRNA binding; oxygen evolving activity; poly(U) RNA binding; protein binding	photosystem II subunit O-2 [Source:NCBI gene (formerly Entrezgene);Acc:824246]	Photosystem II PsbO, manganese-stabilising; Outer membrane protein/outer membrane enzyme PagP,  beta-barrel	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9SS98	1.587786347473972	0.1165152825333598	11.945570025578954	13.62727972632576	1.2214074324017862e-8	1.5145706700885749e-7	At_35S_LST8_ctrl_24h	At_35S_GFP_ctrl_24h	R0722	AT3G01570	F4P13.12;<br>F4P13_12	lipid droplet; membrane; monolayer-surrounded lipid storage body	post-embryonic development; reproductive structure development	molecular_function	Oleosin family protein [Source:NCBI gene (formerly Entrezgene);Acc:821106]	Oleosin	Q9LV27	GFP	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
